quote,author,category
"Gamble everything for love, if you're a true human being.",Jalaluddin Rumi,"life, love"
How 'bout a shot of truth in that denial cocktail.,Jennifer Salaiz,"denial, hate, lies, love, sarcasm, truth"
"And I didn't choose it, Kat. I chose you.","Ally Carter, Heist Society","confession, happiness, love"
"I know I’m not supposed to say this, but I love you.","Richelle Mead, The Indigo Spell","adrian-ivashkov, feelings, love, sydney-sage"
Love comforteth like sunshine after rain.,"William Shakespeare, The Complete Sonnets and Poems",love
I might kiss you.I might be bad at it.That's not possible.,"Nicholas Sparks, A Walk to Remember",love
"Love didn't make you weak, it made you stronger.","Cassandra Clare, City of Glass",love
A kiss may ruin a human life,Oscar Wilde,"kiss, life, love"
Love is like a virus. It can happen to anybody at any time.,Maya Angelou,love
I like being the girl nobody can have.,Miley Cyrus,love
Sometimes loneliness makes the loudest noise.,Aaron Ben-Ze'ev,"aching-heart, billy-holiday, breakups, central-features, circumstances, comeback, desperation, dwelling, edna-st-vincent-millay, ex-lovers, feelings, hole-in-the-world, imagination, impressive-comeback, intense-desire, love, mental-environment, negative-experiences, nostalgia, phenomenon, reciprocity, romantic-life, scars, st-vincent-millay"
and yet her name was like a summons to all my foolish blood.,"James Joyce, Dubliners","araby, irish_short_stories, love"
A real relationship is two-way.,"Sophie Kinsella, Can You Keep a Secret?","friendship, love, romance"
Loving someone always requires you to not love others.,"Koushun Takami, Battle Royale","love, survival"
You might as well make yourself fly as to make yourself love.,"Marilyn Monroe, My Story","fly, love, marilyn-monroe, my-story"
"I love you,"" I whisper. ""I love you exactly as you are.","Tahereh Mafi, Ignite Me",love
Emotion without reason lets people walk all over you, reason without emotion is a mask for cruelty.,"Nalini Singh, Archangel's Kiss"
Love never dies.,"Lauren Kate, Torment",love
Everything is clearer when you're in love.,John Lennon,love
Love is keeping the promise anyway.,"John Green, The Fault in Our Stars",love
"how sad and bad and mad it was - but then, how it was sweet",Robert Browning,"love, nostalgia, reflection, the-past"
"If music be the food of love, play on.","William Shakespeare, Twelfth Night","love, music"
"To wish was to hope, and to hope was to expect","Jane Austen, Sense and Sensibility","expect, expectations, hope, love, wish"
Only in the agony of parting do we look into the depths of love.,George Eliot,"agony, introspection, love, parting"
"I am two fools, I know,For loving, and for saying so.","John Donne, The Complete English Poems","love, poetry"
Till I loved I never lived.,Emily Dickinson,love
The heart is a strange beast and not ruled by logic.,"Maria V. Snyder, Touch of Power","emotions, love"
"There is love of course. And then there's life, its enemy.",Jean Anouilh,"life, lost, love"
"I will find you.In the farthest corner, I will find you.","Mary E. Pearson, The Kiss of Deception","find, finding-love, kiss, lia, love, prince, princess, rafe"
True love is born from understanding.,Gautama Buddha,"buddha, compassion, love, understanding"
"From the stars, to the stars.","Renee Ahdieh, The Rose & the Dagger",love
Are those the only options? Nothing or forever?,"Sarah Dessen, This Lullaby","dexter, love"
Under loves heavy burden do I sink.--Romeo,"William Shakespeare, Romeo and Juliet",love
Love fades. Mine has.,"Richelle Mead, Spirit Bound","dimitri, love, rose"
What does the brain matter compared with the heart?,"Virginia Woolf, Mrs. Dalloway","logic, love"
We all have an old knot in the heart we wish to untie.,"Michael Ondaatje, The Cat's Table","longing, loss, love, memory"
I feel like I’ve been split open and stuffed with sunshine.,"Tahereh Mafi, Ignite Me","happy, ignite-me, juliette, love, warner"
I loved him as we always love for the first time, with idolatry and wild passion.,Voltaire
What barrier is there that love cannot break?,"Mahatma Gandhi, The Story of My Experiments With Truth","gandhi, love"
"You said move on, where do I go?",Katy Perry,"grief, love"
"I don't want to live, I want to love first and live incidentally.",Zelda Fitzgerald,"incidental, life, love"
"Love's gift cannot be given, it waits to be accepted.",Rabindranath Tagore,love
Love cannot live where there is no trust.,"Edith Hamilton, Mythology: Timeless Tales of Gods and Heroes","cupid, love, mythology, relationships, trust"
I realized I’m in love. It's always been right in front of me.,"Richelle Mead, The Indigo Spell","adrian-ivashkov, friends-to-lovers, love, realizations, relationships, sydney-sage"
Without love we all like birds with broken wings.,"Mitch Albom, Tuesdays with Morrie",love
"I gave you my heart, but it wasn't enough.","Simone Elkeles, Return to Paradise","bhie, caleb, love, maggie, return-to-paradise, simone-elkeles"
"Sometimes, remembering hurts too much.","Jess Rothenberg, The Catastrophic History of You and Me","love, memories, remembering"
Waiting is erotic,"Irène Némirovsky, Suite Française","erotism, love, romance"
"Love, and you shall be loved.",Ralph Waldo Emerson,love
Love is not something you protect. It’s something you risk.,"Gayle Forman, Just One Year","kate, love, risk, willem"
Love was the most savage monster of all.,"Rick Riordan, The House of Hades","cupid, love"
"Choice or no, my heart is his.","Beth Revis, A Million Suns","choice, hearts, love"
Not like this. He wanted it to be real.,"Suzanne Collins, Catching Fire","fake, haymitch, katniss, love, marriage, peeta, proposal"
I just don't see why the past has to matter.,"Cassandra Clare, City of Fallen Angels","alec-lightwood, history, love, magnus-bane, past"
"If you have reasons to love someone, you don’t love them.",Slavoj Žižek,"love, philosophy"
I want my world to start and end with you.,"E.L. James, Fifty Shades of Grey","erotic-romance, love"
I want him to love me as much as I love him.,"L.J. Smith, The Awakening","elena-gilbert, hope, love, romance, stefan-salvatore"
You have a beautiful laugh. Like the promise of tomorrow.,"Renee Ahdieh, The Wrath and the Dawn","khalid, laughter, love, shahrzad"
Sometimes you have to learn to love what's good for you.,"Stephenie Meyer, New Moon",love
"It isn't about love,"" Vee said. ""It's about fun.","Becca Fitzpatrick, Hush, Hush","fun, love, young"
He is the cheese to my macaroni.,"Diablo Cody, Juno: The Shooting Script","couples, love"
Just knowing you exist changed the world for me.,"Tiffanie DeBartolo, God-Shaped Hole",love
"Kitten, your hands are heaven and your eyes are my home.","Jeaniene Frost, This Side of the Grave",love
"It is love, not reason, that is stronger than death.","Thomas Mann, The Magic Mountain","death, love"
To love makes one solitary.,"Virginia Woolf, Mrs. Dalloway",love
"When what you want is a relationship, and not a person, get a dog.","Deb Caletti, The Secret Life of Prince Charming","companionship, dog, love, relationship, romance, truth"
We all know interspecies romance is weird.,Tim Burton,"aliens, animals, biology, genetics, interspecies, love, romance, sci-fi, science-fiction, scifi, weird, weirdness"
I want your most vital organ. I want it to be mine.,Coco J. Ginger,"desire, heart, jamie-weise, love, love-story, lovers, missing-someone, organ, passionate-living, yearning"
"Three years? That's a thousand tomorrows, ma'am.",Karen Kingsbury,"believing, bull-rider, cf, grief, horses, karen, kingsbury, love, romance, thousand, tomorrows"
Don’t marry him. Don’t be with him. Be with me.,"Jenny Han, We'll Always Have Summer",love
Kids chase the love that eludes them.,"Mitch Albom, For One More Day",love
"You were the sun, and I was crashing into you.","Rainbow Rowell, Carry On","baz, carry-on, love"
"There is only one happiness in life, to love and be loved.",George Sand,love
If you love something let it go.. if it comes back its yours,"James Patterson, Max",love
It is impossible to manufacture or imitate love.,"J.K. Rowling, Harry Potter and the Half-Blood Prince","love, romance"
"AnatasiaYou Are My More My Love, My LifeChristian","E.L. James, Fifty Shades Freed","love, romantic"
"Real love finds you once, if you're lucky.","Ellen Hopkins, Burned",love
Where is Aelin. Where is my wife?,"Sarah J. Maas, Empire of Storms","aelin-ashryver-galathynius, love, rowan-whitethorn"
"Lift your hips for me, love.","Tahereh Mafi, Ignite Me","finally, god, juliette, love, sex, sexy, want, warner"
"I can hate you more, but I'll never love you less.","Michael Morpurgo, War Horse","hate, love, war-horse"
Time is how you spend your love.,Zadie Smith,love
Love heals scars love left,"Henry Rollins, The Portable Henry Rollins",love
What you are to do without me I cannot imagine.,"George Bernard Shaw, Pygmalion","alone, leaving, loss, love"
One heart cannot serve two masters.,"Robin LaFevers, Grave Mercy","grave-mercy, heart, love"
Because...because...she came here with me.,"Suzanne Collins, The Hunger Games","katniss-everdeen, love, peeta-mellark, the-hunger-games"
Traveling in the company of those we love is home in motion.,Leigh Hunt,"family, love"
That this girl would know exactly how to shatter me.,"Tahereh Mafi, Destroy Me","love, romance, sadness"
I was feeling insecure you might not love me anymore,John Lennon,"insecure, insecurity, love"
He will love only once - but it will be for always.,"Judith McNaught, Paradise","endless-love, love"
Let this hell be our heaven.,"Richard Matheson, What Dreams May Come","heaven, hell, love"
It's become impossible to deny he means something to me.,"Stephanie Perkins, Lola and the Boy Next Door",love
"Love, that moves the sun and the other stars","Dante Alighieri, Paradiso","italian-medieval-poetry, love, sun"
Love is the only future God offers.,"Victor Hugo, Les Misérables","future, god, love"
I love you every day. And now I will miss you every day.,"Mitch Albom, For One More Day","death, death-and-dying, death-of-a-loved-one, love, mother"
To long a sacrifice can make a stone of a heart,W.B. Yeats,love
You don't fall in love with someone because it's convenient.,"Harriet Evans, A Hopeless Romantic","love, timing, truth"
...no woman can love a weak man hard enough to make him strong.,"Pearl Cleage, Just Wanna Testify","love, man, strong, truth, weak, woman"
... it’s a blessed thing to love and feel loved in return.,"E.A. Bucchianeri, Brushstrokes of a Gadfly","blessings, catholic-author, falling-in-love, inspirational, inspirational-love, inspirational-romance, love, love-story, romance, true-love"
Happiness is the china shop love is the bull. ,H.L. Mencken,"love, metaphor"
Ronan's second secret was Adam Parrish.,"Maggie Stiefvater, The Dream Thieves","love, secrets"
"If I love you, is that a fact or a weapon?","Margaret Atwood, Power Politics",love
"Gilbert, I'm afraid I'm scandalously in love with you.","L.M. Montgomery, Anne of Windy Poplars","anne-of-windy-poplars, anne-shirley, gilbert-blythe, love"
"Never fall in love?""""Always,"" said the count. ""I am always in love.","Ernest Hemingway, The Sun Also Rises","always, brett, count, fall-in-love, jake, love, never"
"Time has no meaning,Love will endure..",Jude Deveraux,"love, patience, time"
I am yours.Don't give myself back to me.,Jalaluddin Rumi,love
